NOTE: Everyone has 2 supermarkets to visit. Find the two rows with your name below.,,,,,
"DEADLINE for data collection: Friday, March 6.",,,,,
The currency and geographical references in the assignment are to Buenos Aires since most students are there. Please convert NT$ 1 = ARS$ 2 for currency consistency.,,,,,
,,,,,
Student index,Student name (alphabetical),Supermarket,Map location,Estimated travel time (min),Neighborhood
3,Antonio,"Wellcome, No. 145, Section 1, Heping East Road, Da’an District, Taipei City, Taiwan 106",https://goo.gl/maps/Lo49cw1euuKbGYEu8,10,
3,Antonio,"Carrefour, 100, Taiwan, Taipei City, Zhongzheng District, Section 2, Jinan Road, 46號B1",https://goo.gl/maps/WtGBKxKDMc2bkbnt6,12,
2,Elisa,"Wellcome, No. 71, Tong'an Street, Zhongzheng District, Taipei City, Taiwan 100",https://goo.gl/maps/u2N2T3Vevb3GoY6r9,7,
2,Elisa,"Carrefour, No. 276號, Jinzhou Street, Zhongshan District, Taipei City, Taiwan 10477",https://goo.gl/maps/L8vQT7MiMtRdHHKx5,13,
1,Giovanna,"Wellcome, No. 129, Shida Road, Da’an District, Taipei City, Taiwan 106",https://goo.gl/maps/xEyEqn1xNtGaTkuV9,5,
1,Giovanna,"Carrefour, 235, Taiwan, New Taipei City, Zhonghe District, Section 2, Zhongshan Road, 295號B1",https://goo.gl/maps/ecC9CL4DixbYPcz1A,20,
4,Kay,"Wellcome, 106, Taiwan, Taipei City, Da’an District, Section 3, Roosevelt Rd, 285號",https://goo.gl/maps/11DBAkneH83xaXde8,10,
4,Kay,"Carrefour, No. 1, Guilin Road, Wanhua District, Taipei City, Taiwan 108",https://goo.gl/maps/vXxYuwKGCSBTphaeA,12,
5,Zdravko,"Carrefour, No. 499-1, Zhonghe Road, Yonghe District, New Taipei City, Taiwan 234",https://goo.gl/maps/UphsbVaKDiYnDzAr5,10,
5,Zdravko,"Wellcome, 106, Taiwan, Taipei City, Da’an District, Section 3, Xinsheng South Road, 2號",https://goo.gl/maps/6AmVzcrGuJCndKQe7,10,
,,"PX Mart, 號1樓, No. 45, Taishun Street, Da’an District, Taipei City, Taiwan 10645",https://goo.gl/maps/3zyCKiqgJbAP2PgPA,10,
,,"Carrefour, 220, Taiwan, New Taipei City, Banqiao District, Section 2, Wenhua Road, 313號B1",https://goo.gl/maps/AiQVnDPu8gqnQpqMA,22,
,,"Carrefour, No. 171號, Section 2, Chongqing North Road, Datong District, Taipei City, Taiwan 103",https://goo.gl/maps/jhQKCvsAAtfGVYSY8,22,
,,"Carrefour, 220, Taiwan, New Taipei City, Banqiao District, Section 2, Sanmin Road, 31號B1",https://goo.gl/maps/TdkhDezenQVaP3Vz9,40,
